"","lat","lon","cellNumber","Data","Cobertura","Obs","Municipio","Bioma","Estado","Fonte","LCI","PVI","Ano","Forrageira","Manejo","Cultivo","Solo","Foto","Condicao"
"1097",-53.0654535565876,-21.1612868546952,272932887,"2017/05/06","Pastagem",NA,"SANTA RITA DO PARDO","Cerrado","MS","LAPIG e Embrapa",0.52960687043,0.53511057184,2017,"Brachiaria brizantha",NA,NA,NA,"Campo_maio2017\Foto_1064.jpg","Boas condições; Altura Alta; Homogeneidade Média; Invasoras Baixa; Presença de animal"
"1109",-53.1890123562786,-21.1421913729738,272738500,"2017/05/06","Pastagem",NA,"RIBAS DO RIO PARDO","Cerrado","MS","LAPIG e Embrapa",0.31565028867,0.33050333591,2017,"Brachiaria brizantha",NA,NA,NA,"Campo_maio2017\Foto_1076.jpg","Boas condições; Altura Baixa; Homogeneidade Alta; Invasoras Baixa; Baixa quantidade de cupinzeiros; Baixa quantidade de solo exposto; Ausência de animal"
"1166",-53.5369036212743,-21.1025984574766,272328086,"2017/05/06","Pastagem",NA,"RIBAS DO RIO PARDO","Cerrado","MS","LAPIG e Embrapa",0.62516303954,0.56183204253,2017,"Panicum sp.",NA,NA,NA,NA,"Boas condições"
"1169",-53.5302402657643,-21.0849286325938,272133761,"2017/05/06","Pastagem",NA,"RIBAS DO RIO PARDO","Cerrado","MS","LAPIG e Embrapa",0.40216678009,0.40003123096,2017,"Brachiaria brizantha",NA,NA,NA,"Campo_maio2017\Foto_1136.jpg","Boas condições; Altura Baixa; Homogeneidade Média; Invasoras Média; Baixa quantidade de solo exposto; Ausência de animal"
"1194",-53.4715194453324,-20.9389889678204,270643941,"2017/05/06","Pastagem",NA,"RIBAS DO RIO PARDO","Cerrado","MS","LAPIG e Embrapa",0.75742995352,0.48422862735,2017,"Andropogon",NA,NA,NA,NA,"Boas condições"
"1198",-53.4600965501724,-20.9228065019344,270471210,"2017/05/06","Pastagem",NA,"RIBAS DO RIO PARDO","Cerrado","MS","LAPIG e Embrapa",0.9466696748,0.81107073158,2017,"Brachiaria brizantha",NA,NA,NA,"Campo_maio2017\Foto_1165.jpg","Boas condições"
"1202",-53.4759220195086,-20.9070999909274,270298467,"2017/05/06","Pastagem",NA,"RIBAS DO RIO PARDO","Cerrado","MS","LAPIG e Embrapa",0.61606518008,0.48170254616,2017,"Brachiaria humidicola",NA,NA,NA,"Campo_maio2017\Foto_1169.jpg","Com invasoras; Altura Média; Homogeneidade Média; Invasoras Média; Baixa quantidade de solo exposto; Ausência de animal"
"1208",-53.4822849406982,-20.8564351982974,269780256,"2017/05/06","Pastagem",NA,"RIBAS DO RIO PARDO","Cerrado","MS","LAPIG e Embrapa",0.41226891576,0.3802880412,2017,"Brachiaria brizantha",NA,NA,NA,"Campo_maio2017\Foto_1175.jpg","Boas condições; Altura Média; Homogeneidade Média; Invasoras Baixa; Baixa quantidade de cupinzeiros; Baixa quantidade de solo exposto; Presença de animal"
"1228",-53.5253022433774,-20.7386119637614,268571083,"2017/05/06","Pastagem",NA,"RIBAS DO RIO PARDO","Cerrado","MS","LAPIG e Embrapa",0.36029240041,0.40544984012,2017,"Brachiaria brizantha",NA,NA,NA,"Campo_maio2017\Foto_1195.jpg","Boas condições; Altura Média; Homogeneidade Alta; Invasoras Baixa; Baixa quantidade de cupinzeiros; Baixa quantidade de solo exposto; Ausência de animal"
"1267",-53.4167847393574,-20.6437184597608,267577903,"2017/05/06","Pastagem",NA,"RIBAS DO RIO PARDO","Cerrado","MS","LAPIG e Embrapa",0.40884752187,0.14232020115,2017,"Brachiaria brizantha",NA,NA,NA,"Campo_maio2017\Foto_1234.jpg","Solo exposto; Altura Baixa; Invasoras Média; Baixa quantidade de cupinzeiros; Média quantidade de solo exposto; Presença de animal"
"1303",-53.1792242165768,-20.575061968465,266887073,"2017/05/06","Pastagem",NA,"RIBAS DO RIO PARDO","Cerrado","MS","LAPIG e Embrapa",0.53633059718,0.36200349478,2017,"Brachiaria brizantha",NA,NA,NA,"Campo_maio2017\Foto_1270.jpg","Com invasoras; Altura Média; Homogeneidade Média; Invasoras Média; Média quantidade de solo exposto; Presença de animal"
"1319",-53.1078906160724,-20.5544769199483,266671187,"2017/05/06","Pastagem",NA,"RIBAS DO RIO PARDO","Cerrado","MS","LAPIG e Embrapa",0.51841196542,0.60030652033,2017,"Nativa",NA,NA,NA,NA,NA
"1321",-53.0957537899649,-20.5501338316774,266628009,"2017/05/06","Pastagem",NA,"RIBAS DO RIO PARDO","Cerrado","MS","LAPIG e Embrapa",0.3937458064,0,2017,"Nativa",NA,NA,NA,NA,NA
"1358",-52.9322146248145,-20.4645225226665,265742815,"2017/05/07","Pastagem",NA,"RIBAS DO RIO PARDO","Cerrado","MS","LAPIG e Embrapa",0.32178728913,0.7672007038,2017,"Brachiaria humidicola",NA,NA,NA,"Campo_maio2017\Foto_1325.jpg","Boas condições; Altura Baixa; Homogeneidade Média; Invasoras Baixa; Baixa quantidade de solo exposto; Ausência de animal"
"1382",-52.7634399275145,-20.3589863973379,264641703,"2017/05/07","Pastagem",NA,"ÁGUA CLARA","Cerrado","MS","LAPIG e Embrapa",0.51616941174,0.29735337269,2017,"Brachiaria decumbens",NA,NA,NA,"Campo_maio2017\Foto_1349.jpg","Boas condições; Altura Alta; Homogeneidade Alta; Invasoras Baixa; Baixa quantidade de solo exposto; Ausência de animal"
"1383",-52.7606443654818,-20.3601760999404,264663297,"2017/05/07","Pastagem",NA,"ÁGUA CLARA","Cerrado","MS","LAPIG e Embrapa",0.42220351037,0.28426688714,2017,"Brachiaria decumbens",NA,NA,NA,"Campo_maio2017\Foto_1350.jpg","Boas condições; Altura Baixa; Homogeneidade Alta; Invasoras Baixa; Baixa quantidade de solo exposto; Presença de animal"
"1415",-52.642219599371,-20.1647674474798,262633705,"2017/05/07","Pastagem",NA,"TRÊS LAGOAS","Cerrado","MS","LAPIG e Embrapa",0.68750164059,0,2017,"Brachiaria brizantha",NA,NA,NA,"Campo_maio2017\Foto_1382.jpg","Com invasoras; Altura Média; Homogeneidade Média; Invasoras Baixa; Média quantidade de solo exposto; Ausência de animal"
"1450",-52.397577600624,-20.033638171032,261295118,"2017/05/07","Pastagem",NA,"TRÊS LAGOAS","Cerrado","MS","LAPIG e Embrapa",0.45460100137,0.39346457243,2017,"Brachiaria humidicola",NA,NA,NA,"Campo_maio2017\Foto_1417.jpg","Solo exposto; Altura Média; Homogeneidade Baixa; Invasoras Alta; Baixa quantidade de cupinzeiros; Média quantidade de solo exposto; Ausência de animal"
"1451",-52.4007073893841,-20.0281003610176,261230341,"2017/05/07","Pastagem",NA,"TRÊS LAGOAS","Cerrado","MS","LAPIG e Embrapa",0.39189148482,0.32431647389,2017,"Brachiaria humidicola",NA,NA,NA,"Campo_maio2017\Foto_1418.jpg","Com invasoras; Altura Baixa; Homogeneidade Média; Invasoras Alta; Baixa quantidade de cupinzeiros; Baixa quantidade de solo exposto; Presença de animal"
"1481",-52.2083721639055,-19.9606144808908,260539489,"2017/05/07","Pastagem",NA,"INOCÊNCIA","Cerrado","MS","LAPIG e Embrapa",0.4157682862,0.6449357275,2017,"Brachiaria humidicola",NA,NA,NA,"Campo_maio2017\Foto_1448.jpg","Com invasoras; Altura Média; Homogeneidade Baixa; Invasoras Média; Média quantidade de cupinzeiros; Baixa quantidade de solo exposto; Presença de animal"
"1482",-52.2089074842948,-19.9579971351653,260517897,"2017/05/07","Pastagem",NA,"INOCÊNCIA","Cerrado","MS","LAPIG e Embrapa",0.60541650063,0.61711628508,2017,"Brachiaria brizantha",NA,NA,NA,"Campo_maio2017\Foto_1449.jpg","Boas condições; Altura Média; Homogeneidade Alta; Invasoras Baixa; Média quantidade de cupinzeiros; Ausência de animal"
"1519",-51.9948837091003,-19.8085963387628,258963375,"2017/05/07","Pastagem",NA,"INOCÊNCIA","Cerrado","MS","LAPIG e Embrapa",0.41663593742,0.42013437849,2017,"Brachiaria brizantha",NA,NA,NA,"Campo_maio2017\Foto_1486.jpg","Solo exposto; Altura Baixa; Homogeneidade Alta; Invasoras Baixa; Alta quantidade de solo exposto; Ausência de animal"
"1563",-51.893008974594,-19.664259562608,257473576,"2017/05/07","Pastagem",NA,"INOCÊNCIA","Cerrado","MS","LAPIG e Embrapa",0.44993803588,0.33466270498,2017,"Brachiaria brizantha",NA,NA,NA,"Campo_maio2017\Foto_1530.jpg","Solo exposto; Altura Baixa; Homogeneidade Média; Invasoras Alta; Baixa quantidade de cupinzeiros; Alta quantidade de solo exposto; Ausência de animal"
"1564",-51.8955666164538,-19.6633672856561,257473574,"2017/05/07","Pastagem",NA,"INOCÊNCIA","Cerrado","MS","LAPIG e Embrapa",0.40897832331,0.37781743828,2017,"Brachiaria brizantha",NA,NA,NA,"Campo_maio2017\Foto_1531.jpg","Com invasoras; Altura Média; Homogeneidade Média; Invasoras Média; Baixa quantidade de solo exposto; Ausência de animal"
"1622",-51.8300196087923,-19.3648114175587,254385950,"2017/05/07","Pastagem",NA,"PARANAÍBA","Cerrado","MS","LAPIG e Embrapa",0.52528146,0.72050955554,2017,"Brachiaria brizantha",NA,NA,NA,"Campo_maio2017\Foto_1589.jpg","Boas condições; Altura Alta; Homogeneidade Alta; Invasoras Baixa; Ausência de animal"
"1638",-51.852086704838,-19.2698731498792,253414299,"2017/05/07","Pastagem",NA,"INOCÊNCIA","Cerrado","MS","LAPIG e Embrapa",0.37874304262,0.50424920198,2017,"Brachiaria brizantha",NA,NA,NA,"Campo_maio2017\Foto_1605.jpg","Muitos cupins; Altura Baixa; Homogeneidade Baixa; Invasoras Alta; Alta quantidade de cupinzeiros; Baixa quantidade de solo exposto; Ausência de animal"
"1639",-51.853514225876,-19.2674937446742,253371115,"2017/05/07","Pastagem",NA,"INOCÊNCIA","Cerrado","MS","LAPIG e Embrapa",0.39147004642,0.32965421453,2017,"Brachiaria brizantha",NA,NA,NA,"Campo_maio2017\Foto_1606.jpg","Boas condições; Altura Baixa; Homogeneidade Alta; Invasoras Baixa; Média quantidade de cupinzeiros; Baixa quantidade de solo exposto; Presença de animal"
"1676",-51.7365764608465,-19.1347229342352,252010874,"2017/05/07","Pastagem",NA,"CASSILÂNDIA","Cerrado","MS","LAPIG e Embrapa",0.50731214471,0.46199030583,2017,"Brachiaria brizantha",NA,NA,NA,"Campo_maio2017\Foto_1643.jpg","Boas condições; Altura Alta; Homogeneidade Média; Invasoras Baixa; Média quantidade de cupinzeiros; Baixa quantidade de solo exposto; Ausência de animal"
"1717",-51.899828429489,-19.053839338896,251168708,"2017/05/07","Pastagem",NA,"CASSILÂNDIA","Cerrado","MS","LAPIG e Embrapa",0.71091746558,0.33200031816,2017,"Brachiaria brizantha",NA,NA,NA,"Campo_maio2017\Foto_1684.jpg","Boas condições; Altura Alta; Homogeneidade Alta; Invasoras Baixa; Baixa quantidade de cupinzeiros; Baixa quantidade de solo exposto; Ausência de animal"
"1770",-52.1374185446459,-18.9962008256805,250585611,"2017/05/08","Pastagem",NA,"CASSILÂNDIA","Cerrado","MS","LAPIG e Embrapa",0.55225596384,0.29532817045,2017,"Brachiaria decumbens",NA,NA,NA,"Campo_maio2017\Foto_1737.jpg","Com invasoras; Altura Alta; Homogeneidade Média; Invasoras Média; Baixa quantidade de cupinzeiros; Baixa quantidade de solo exposto; Ausência de animal"
"1818",-52.326527559225,-18.977142164485,250391192,"2017/05/08","Pastagem","Solo arenoso","CASSILÂNDIA","Cerrado","MS","LAPIG e Embrapa",0.42222560504,0.72318833633,2017,"Brachiaria brizantha","Reformado em 2016",NA,NA,"Campo_maio2017\Foto_1785.jpg","Boas condições; Altura Alta; Homogeneidade Média; Invasoras Baixa; Média quantidade de solo exposto; Ausência de animal"
"1827",-52.348481265147,-18.99231499573,250542326,"2017/05/08","Pastagem",NA,"CASSILÂNDIA","Cerrado","MS","LAPIG e Embrapa",0.45571739777,0.57505124683,2017,"Panicum mombaca",NA,NA,NA,NA,"Boas condições"
"1886",-52.544993705961,-18.953758153978,250131984,"2017/05/08","Pastagem",NA,"CASSILÂNDIA","Cerrado","MS","LAPIG e Embrapa",0.52540433425,0.2713053765,2017,"Brachiaria brizantha",NA,NA,NA,"Campo_maio2017\Foto_1853.jpg","Boas condições; Altura Média; Homogeneidade Média; Invasoras Baixa; Baixa quantidade de solo exposto; Ausência de animal"
"1887",-52.545053201099,-18.951913613709,250131984,"2017/05/08","Pastagem",NA,"CASSILÂNDIA","Cerrado","MS","LAPIG e Embrapa",0.52540433425,0.2713053765,2017,"Brachiaria brizantha",NA,NA,NA,"Campo_maio2017\Foto_1854.jpg","Boas condições; Altura Alta; Homogeneidade Alta; Invasoras Baixa; Baixa quantidade de solo exposto; Ausência de animal"
"1890",-52.555107879421,-18.952508626699,250131979,"2017/05/08","Pastagem",NA,"CASSILÂNDIA","Cerrado","MS","LAPIG e Embrapa",0.56635736996,0.2903366142,2017,"Brachiaria brizantha",NA,NA,NA,"Campo_maio2017\Foto_1857.jpg","Boas condições; Altura Alta; Homogeneidade Alta; Invasoras Baixa; Ausência de animal"
"1891",-52.554691413455,-18.950188076038,250110387,"2017/05/08","Pastagem","Recém reformado","CASSILÂNDIA","Cerrado","MS","LAPIG e Embrapa",0.8725828455,0.24585723234,2017,"Brachiaria decumbens",NA,NA,NA,"Campo_maio2017\Foto_1858.jpg","Boas condições; Altura Baixa; Homogeneidade Alta; Invasoras Baixa; Alta quantidade de solo exposto; Ausência de animal"
